contract_id,file_name,file_type,page,sentence_id,sentence
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,1,Page 1 Sample Contract Contract No.___________
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,2,"PROFESSIONAL SERVICES AGREEMENT THIS AGREEMENT made and entered into this _______day of , 20 by and between the SANTA CRUZ COUNTY REGIONAL TRANSPORTATION COMMISSION, hereinafter called COMMISSION, and ________ ____, hereinafter called CONSULTANT for __________________ (services/project name)."
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,3,1. DUTIES.
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,4,A.
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,5,"CONSULTANT agrees to exercise special skill to accomplish the following results in a manner reasonably satisfactory to COMMISSION: ______________________________, as specified in Exhibit A: Scope of Services, which by this reference is incorporated herein."
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,6,B.
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,7,"CONSULTANT shall provide the personnel listed below to perform the above-specified services, which persons are hereby designated as key personnel under this Agreement."
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,8,Name Firm
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,9,Function Principal in Charge
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,10,Project Manager
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,11,C.
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,12,"No person named in paragraph B of this Section, or his or her successor, shall be removed or replaced by CONSULTANT, nor shall his or her agreed-upon function hereunder be changed, without the prior written consent of"
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,13,COMMISSION.
34,0e548dae-2f3f-427f-a0b5-ff966e85e527.pdf,pdf,1,14,Such consent shall not be unreasonably withheld.
